"Country","Longitude","Latitude","Count"
"Afghanistan",66,33,1
"Argentina",-64,-34,8
"Australia",135,-25,89
"Austria",13.33333,47.33333,1
"Bahamas",-77.37122,25.04082,2
"Belgium",4,50.83333,11
"Bosnia and Herzegovina",17.83333,44.25,1
"Botswana",24,-22,1
"Brazil",-55,-10,5
"Bulgaria",25,43,2
"Canada",-113.64258,60.10867,211
"Chile",-71,-30,3
"China",105,35,23
"Colombia",-72,4,1
"Croatia",15.5,45.16667,1
"Czech Republic",15,49.75,18
"Denmark",10,56,6
"Dominican Republic",-70.66667,19,2
"Ecuador",-77.5,-2,1
"Egypt",30,27,2
"Finland",26,64,2
"France",2,46,184
"Germany",10.5,51.5,306
"Ghana",-1.2,8.1,2
"Greece",22,39,5
"Hong Kong",114.1577,22.28552,15
"Hungary",20,47,10
"Iceland",-18,65,4
"India",77,20,27
"Indonesia",120,-5,5
"Iran",53,32,1
"Ireland",-8,53,19
"Isle of Man",-4.5,54.25,2
"Israel",34.75,31.5,6
"Italy",12.83333,42.83333,33
"Japan",139.75309,35.68536,41
"Jordan",36,31,2
"Kenya",38,1,3
"Kuwait",47.75,29.5,1
"Luxembourg",6.16667,49.75,9
"Madagascar",47,-20,1
"Malaysia",112.5,2.5,2
"Malta",14.43333,35.91667,3
"Mexico",-102,23,24
"Morocco",-5,32,2
"Netherlands",5.75,52.5,11
"New Zealand",174,-42,18
"Nigeria",8,10,1
"Norway",10,62,5
"Paraguay",-57.99639,-22.99333,1
"Peru",-76,-10,2
"Philippines",122,13,2
"Poland",20,52,6
"Puerto Rico",-66.49989,18.24829,2
"Qatar",51.25,25.5,1
"Romania",25,46,9
"Russia",100,60,10
"Saudi Arabia",45,25,2
"Senegal",-14,14,1
"Serbia",20.45998,44.81892,1
"Singapore",103.8,1.36667,3
"Slovenia",15.16667,46.25,1
"South Africa",24,-29,8
"South Korea",127.5,37,6
"Spain",-4,40,36
"Sweden",15,62,7
"Switzerland",8.01427,47.00016,12
"Taiwan",121,24,2
"Thailand",100,15,5
"Turkey",34.91155,39.05901,2
"UK",-2.69531,54.75844,378
"United Arab Emirates",54,24,19
"Uruguay",-56,-33,1
