"Title","Country","Longitude","Latitude"
"Gladiator","UK",-2.69531,54.75844
"Big Momma's House","Germany",10.5,51.5
"Shaft","Germany",10.5,51.5
"Chicken Run","UK",-2.69531,54.75844
"Chicken Run","France",2,46
"The Patriot","Germany",10.5,51.5
"The Adventures of Rocky & Bullwinkle","Germany",10.5,51.5
"Thomas and the Magic Railroad","UK",-2.69531,54.75844
"Hollow Man","Germany",10.5,51.5
"Space Cowboys","Australia",135,-25
"Bless the Child","Germany",10.5,51.5
"The Cell","Germany",10.5,51.5
"The Art of War","Canada",-113.64258,60.10867
"Nurse Betty","Germany",10.5,51.5
"Bait","Canada",-113.64258,60.10867
"Bait","Australia",135,-25
"Urban Legends: Final Cut","France",2,46
"Dancer in the Dark","Spain",-4,40
"Dancer in the Dark","Argentina",-64,-34
"Dancer in the Dark","Denmark",10,56
"Dancer in the Dark","Germany",10.5,51.5
"Dancer in the Dark","Netherlands",5.75,52.5
"Dancer in the Dark","Italy",12.83333,42.83333
"Dancer in the Dark","UK",-2.69531,54.75844
"Dancer in the Dark","France",2,46
"Dancer in the Dark","Sweden",15,62
"Dancer in the Dark","Finland",26,64
"Dancer in the Dark","Iceland",-18,65
"Dancer in the Dark","Norway",10,62
"Digimon: The Movie","Japan",139.75309,35.68536
"The Contender","Germany",10.5,51.5
"The Contender","UK",-2.69531,54.75844
"Dr. T and the Women","Germany",10.5,51.5
"Bedazzled","Germany",10.5,51.5
"Lucky Numbers","France",2,46
"The Little Vampire","Germany",10.5,51.5
"The Little Vampire","Netherlands",5.75,52.5
"Charlie's Angels","Germany",10.5,51.5
"Red Planet","Australia",135,-25
"How the Grinch Stole Christmas","Germany",10.5,51.5
"102 Dalmatians","UK",-2.69531,54.75844
"What's Cooking?","UK",-2.69531,54.75844
"Dungeons & Dragons","Czech Republic",15,49.75
"Vertical Limit","Germany",10.5,51.5
"Miss Congeniality","Australia",135,-25
"Quills","UK",-2.69531,54.75844
"Quills","Germany",10.5,51.5
"Traffic","Germany",10.5,51.5
"State and Main","France",2,46
"Crouching Tiger, Hidden Dragon","Taiwan",121,24
"Crouching Tiger, Hidden Dragon","Hong Kong",114.1577,22.28552
"Crouching Tiger, Hidden Dragon","China",105,35
"Chocolat","UK",-2.69531,54.75844
"Snatch.","UK",-2.69531,54.75844
"Shadow of the Vampire","UK",-2.69531,54.75844
"Shadow of the Vampire","Luxembourg",6.16667,49.75
"O Brother, Where Art Thou?","UK",-2.69531,54.75844
"O Brother, Where Art Thou?","France",2,46
"The Golden Bowl","France",2,46
"The Golden Bowl","UK",-2.69531,54.75844
"The Endurance","UK",-2.69531,54.75844
"The Endurance","Germany",10.5,51.5
"The Endurance","Sweden",15,62
"Hannibal","UK",-2.69531,54.75844
"Saving Silverman","Australia",135,-25
"Down to Earth","Australia",135,-25
"Down to Earth","Germany",10.5,51.5
"Down to Earth","Canada",-113.64258,60.10867
"Haunted Castle","Belgium",4,50.83333
"See Spot Run","Australia",135,-25
"15 Minutes","Germany",10.5,51.5
"Enemy at the Gates","France",2,46
"Enemy at the Gates","Germany",10.5,51.5
"Enemy at the Gates","UK",-2.69531,54.75844
"Enemy at the Gates","Ireland",-8,53
"Exit Wounds","Australia",135,-25
"Along Came a Spider","Germany",10.5,51.5
"Along Came a Spider","Canada",-113.64258,60.10867
"Josie and the Pussycats","Canada",-113.64258,60.10867
